
2023/08/16 (15:05:44) | ===> btop++ v.1.2.13
2023/08/16 (15:05:44) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/16 (19:21:27) | ===> btop++ v.1.2.13
2023/08/16 (19:21:27) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/16 (20:11:02) | ===> btop++ v.1.2.13
2023/08/16 (20:11:02) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/17 (12:12:34) | ===> btop++ v.1.2.13
2023/08/17 (12:12:34) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/17 (16:38:42) | ===> btop++ v.1.2.13
2023/08/17 (16:38:42) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/17 (20:08:13) | ===> btop++ v.1.2.13
2023/08/17 (20:08:13) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/17 (20:33:21) | ===> btop++ v.1.2.13
2023/08/17 (20:33:21) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/17 (20:52:04) | ===> btop++ v.1.2.13
2023/08/17 (20:52:04) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/17 (22:00:34) | ===> btop++ v.1.2.13
2023/08/17 (22:00:34) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/18 (12:20:58) | ===> btop++ v.1.2.13
2023/08/18 (12:20:58) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/18 (13:11:56) | ===> btop++ v.1.2.13
2023/08/18 (13:11:56) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/18 (14:05:28) | ===> btop++ v.1.2.13
2023/08/18 (14:05:28) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/20 (18:02:02) | ===> btop++ v.1.2.13
2023/08/20 (18:02:02) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/20 (18:18:57) | ===> btop++ v.1.2.13
2023/08/20 (18:18:57) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/20 (18:22:32) | ===> btop++ v.1.2.13
2023/08/20 (18:22:32) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/20 (18:23:37) | ===> btop++ v.1.2.13
2023/08/20 (18:23:37) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/20 (18:26:33) | ===> btop++ v.1.2.13
2023/08/20 (18:26:33) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/21 (12:52:17) | ===> btop++ v.1.2.13
2023/08/21 (12:52:17) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/21 (12:53:16) | ===> btop++ v.1.2.13
2023/08/21 (12:53:16) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/21 (15:02:43) | ===> btop++ v.1.2.13
2023/08/21 (15:02:43) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/24 (11:45:09) | ===> btop++ v.1.2.13
2023/08/24 (11:45:09) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/24 (16:41:56) | ===> btop++ v.1.2.13
2023/08/24 (16:41:56) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/26 (00:36:17) | ===> btop++ v.1.2.13
2023/08/26 (00:36:17) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/30 (12:21:42) | ===> btop++ v.1.2.13
2023/08/30 (12:21:42) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/08/30 (12:34:55) | ===> btop++ v.1.2.13
2023/08/30 (12:34:55) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/04 (12:05:28) | ===> btop++ v.1.2.13
2023/09/04 (12:05:28) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/14 (11:03:59) | ===> btop++ v.1.2.13
2023/09/14 (11:03:59) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/15 (11:41:37) | ===> btop++ v.1.2.13
2023/09/15 (11:41:37) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/15 (13:41:45) | ===> btop++ v.1.2.13
2023/09/15 (13:41:45) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/15 (15:01:35) | ===> btop++ v.1.2.13
2023/09/15 (15:01:35) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/16 (21:14:17) | ===> btop++ v.1.2.13
2023/09/16 (21:14:17) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/18 (12:53:34) | ===> btop++ v.1.2.13
2023/09/18 (12:53:34) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/18 (12:59:52) | ===> btop++ v.1.2.13
2023/09/18 (12:59:52) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/18 (13:06:41) | ===> btop++ v.1.2.13
2023/09/18 (13:06:41) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/20 (16:45:46) | ===> btop++ v.1.2.13
2023/09/20 (16:45:46) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/20 (16:46:36) | ===> btop++ v.1.2.13
2023/09/20 (16:46:36) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/21 (13:03:28) | ===> btop++ v.1.2.13
2023/09/21 (13:03:28) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/21 (14:34:55) | ===> btop++ v.1.2.13
2023/09/21 (14:34:55) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/21 (14:41:15) | ===> btop++ v.1.2.13
2023/09/21 (14:41:15) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/09/22 (13:34:24) | ===> btop++ v.1.2.13
2023/09/22 (13:34:24) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/10/07 (21:08:43) | ===> btop++ v.1.2.13
2023/10/07 (21:08:43) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/10/08 (17:55:43) | ===> btop++ v.1.2.13
2023/10/08 (17:55:43) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/10/12 (07:37:25) | ===> btop++ v.1.2.13
2023/10/12 (07:37:25) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/10/12 (11:25:23) | ===> btop++ v.1.2.13
2023/10/12 (11:25:23) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/10/12 (13:20:17) | ===> btop++ v.1.2.13
2023/10/12 (13:20:17) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/10/13 (11:52:54) | ===> btop++ v.1.2.13
2023/10/13 (11:52:54) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/10/17 (14:47:47) | ===> btop++ v.1.2.13
2023/10/17 (14:47:47) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/10/18 (11:45:27) | ===> btop++ v.1.2.13
2023/10/18 (11:45:27) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/10/19 (22:23:40) | ===> btop++ v.1.2.13
2023/10/19 (22:23:40) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/10/25 (13:07:39) | ===> btop++ v.1.2.13
2023/10/25 (13:07:39) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/11/08 (15:50:11) | ===> btop++ v.1.2.13
2023/11/08 (15:50:11) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/11/08 (16:43:07) | ===> btop++ v.1.2.13
2023/11/08 (16:43:07) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/11/27 (18:21:27) | ===> btop++ v.1.2.13
2023/11/27 (18:21:27) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/11/27 (18:22:30) | ===> btop++ v.1.2.13
2023/11/27 (18:22:30) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/11/30 (10:54:03) | ===> btop++ v.1.2.13
2023/11/30 (10:54:03) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/09 (12:47:56) | ===> btop++ v.1.2.13
2024/01/09 (12:47:56) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/13 (14:07:09) | ===> btop++ v.1.2.13
2024/01/13 (14:07:09) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/13 (16:04:25) | ===> btop++ v.1.2.13
2024/01/13 (16:04:25) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/19 (14:51:27) | ===> btop++ v.1.2.13
2024/01/19 (14:51:27) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/21 (18:21:47) | ===> btop++ v.1.3.0
2024/01/21 (18:21:47) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/22 (13:54:36) | ===> btop++ v.1.3.0
2024/01/22 (13:54:36) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/22 (18:53:02) | ===> btop++ v.1.3.0
2024/01/22 (18:53:02) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/24 (11:36:00) | ===> btop++ v.1.3.0
2024/01/24 (11:36:00) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/25 (15:18:05) | ===> btop++ v.1.3.0
2024/01/25 (15:18:05) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/26 (14:14:51) | ===> btop++ v.1.3.0
2024/01/26 (14:14:51) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/26 (14:15:07) | ===> btop++ v.1.3.0
2024/01/26 (14:15:07) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/27 (11:54:56) | ===> btop++ v.1.3.0
2024/01/27 (11:54:56) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/27 (17:06:12) | ===> btop++ v.1.3.0
2024/01/27 (17:06:12) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/27 (17:07:09) | ===> btop++ v.1.3.0
2024/01/27 (17:07:09) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/27 (23:26:03) | ===> btop++ v.1.3.0
